Country,Fund,Fund Type,Income Classification,Theme/Objective,World Bank Region,Amount of Funding Approved (USD millions)
Senegal,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.95
Sierra Leone,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
Ethiopia,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.83
Rwanda,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.85
Rwanda,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.38
Niger,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.05
Rwanda,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5
Uganda,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.05
Uganda,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.25
Uganda,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,10
Madagascar,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1.75
Niger,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
"Multi-country (Ethiopia, Rwanda)",Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.82
Madagascar,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,7.11
Rwanda,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1
Uganda,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.8
Madagascar,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.95
Tanzania,Green Climate Fund (GCF-1),Multilateral,Low income,Adaptation,Sub-Saharan Africa,100
Lao PDR,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.2
Lao PDR,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.45
Lao PDR,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.7
Lao PDR,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.72
Lao PDR,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,5.48
Lao PDR,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,5.12
Lao PDR,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.5
Lao PDR,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,3.55
Lao PDR,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,5.5
Lao PDR,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,3.5
Lao PDR,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,5.33
Bangladesh,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,South Asia,0.2
Bhutan,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,South Asia,0.2
Bhutan,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,South Asia,3.45
Bangladesh,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,South Asia,5.65
Bangladesh,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,South Asia,5.2
Bangladesh,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,South Asia,5.69
Bhutan,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,South Asia,8.93
Mauritania,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.2
Lesotho,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.19
Zambia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.2
Mauritania,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,3.5
Zambia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,3.8
Lesotho,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,1.74
Lesotho,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,4.33
Mauritania,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,7.8
Zambia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,4
Lesotho,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,3.59
Mauritania,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,6.35
Lesotho,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,8.4
Zambia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,6.21
Zambia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,3.89
Mauritania,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,5
Zambia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,38
Zambia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,36
Lesotho,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,6.41
Mauritania,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,5.98
Lesotho,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,4.42
Mauritania,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,4.45
Lesotho,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,5
Zambia,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,32
Zambia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,6.19
Zambia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,14.6
Lesotho,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,10
Zambia,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,7.02
Mauritania,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,4.42
Mauritania,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,4.42
Lesotho,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,8.93
Zambia,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.93
Multi-country (Uganda and Zambia),Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,1.05
"Multi-country (Benin, Senegal, Zambia)",Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,Sub-Saharan Africa,0.4
Sao Tome and Principe,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.2
Sao Tome and Principe,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,4.15
Sao Tome and Principe,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,1.99
Sao Tome and Principe,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,4
Sao Tome and Principe,Global Climate Change Alliance (GCCA),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,3.36
Sao Tome and Principe,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,4
Sao Tome and Principe,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,3.5
Sao Tome and Principe,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,6
Sao Tome and Principe,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,8.93
Vanuatu,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.2
Vanuatu,Global Climate Change Alliance (GCCA),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,3.59
Vanuatu,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,2.58
Vanuatu,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,8.03
Vanuatu,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,5.55
Vanuatu,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,22.95
Vanuatu,Global Environment Facility (GEF7),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,12.54
Vanuatu,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,2.29
Vanuatu,Green Climate Fund (GCF-1),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,23.33
Vanuatu,Green Climate Fund (GCF-1),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,26.18
"Multi-country (Timor-Leste, Tuvalu, Vanuatu)",Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,East Asia & Pacific,0.19
"Regional - Pacific (Kiribati, Solomon Islands, Vanuatu, Tuvalu)",Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,East Asia & Pacific,17.9
"Regional - Pacific (Kiribati, Solomon Islands, Vanuatu, Tuvalu)",Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,East Asia & Pacific,16.06
"Regional - East Asia and Pacific (Kiribati, Solomon Islands, Timor Leste, Tuvalu)",Least Developed Countries Fund (LDCF),Multilateral,Not applicable,Adaptation,East Asia & Pacific,8.99
Syrian Arab Republic,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Middle East & North Africa,10
Zimbabwe,Special Climate Change Fund (SCCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.98
Zimbabwe,Special Climate Change Fund (SCCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,3.98
Zimbabwe,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.05
Zimbabwe,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
Zimbabwe,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.86
Zimbabwe,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.02
Zimbabwe,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.03
Zimbabwe,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5
Lebanon,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Middle East & North Africa,7.86
Lebanon,Special Climate Change Fund (SCCF),Multilateral,Upper middle income,Adaptation,Middle East & North Africa,7.15
Iraq,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Upper middle income,Adaptation,Middle East & North Africa,2
Iraq,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,Middle East & North Africa,10
Papua New Guinea,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,6.53
Papua New Guinea,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,24.25
Micronesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.02
Micronesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.01
Micronesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.03
Micronesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,9
Papua New Guinea,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,5
Micronesia,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.97
Micronesia,Green Climate Fund (GCF-1),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,8.58
Micronesia,Green Climate Fund (GCF-1),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,16.59
Papua New Guinea,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.29
Marshall Islands,Green Climate Fund IRM (GCF IRM),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,25
Marshall Islands,Green Climate Fund IRM (GCF IRM),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,18.63
Yemen,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Middle East & North Africa,0.2
Yemen,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Middle East & North Africa,10
Yemen,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Middle East & North Africa,4.92
Yemen,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Middle East & North Africa,10
Yemen,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Middle East & North Africa,1.59
Yemen,Global Environment Facility (GEF7),Multilateral,Low income,Adaptation,Middle East & North Africa,16.06
Afghanistan,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,South Asia,0.2
Afghanistan,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,South Asia,9
Mozambique,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Mali,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Liberia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Togo,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Mozambique,Special Climate Change Fund (SCCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.96
Mali,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.42
Mali,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.34
Mali,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.11
Liberia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.9
Mozambique,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,17.04
Liberia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.38
Togo,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.35
Mozambique,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.43
Mali,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.53
Mozambique,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.69
Mali,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2.17
Mali,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,5.46
Somalia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8
Liberia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6.73
Somalia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Mozambique,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,15.75
Mozambique,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,15.75
Mozambique,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,1.75
Mali,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.37
Mozambique,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9
Togo,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
South Sudan,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Mozambique,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,14.7
Mozambique,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,14.64
Mozambique,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,15.75
Mali,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
Liberia,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4.56
"Multi-country (Sudan, Somalia)",Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,7.08
Mozambique,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.57
Mali,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.05
Togo,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.05
Mali,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,7.61
Mali,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Sub-Saharan Africa,22.75
Mozambique,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,10.1
Mozambique,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6.34
Mozambique,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6
Liberia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2
South Sudan,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.03
Somalia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.99
Mali,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.05
Somalia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.83
Togo,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
Mozambique,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
Togo,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
Liberia,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.59
Mali,Global Environment Facility (GEF7),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6.83
Burundi,Green Climate Fund (GCF-1),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.995
Liberia,Green Climate Fund (GCF-1),Multilateral,Low income,Adaptation,Sub-Saharan Africa,10
Liberia,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,8.93
Mozambique,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.05
Liberia,Green Climate Fund (GCF-1),Multilateral,Low income,Adaptation,Sub-Saharan Africa,17.26
Mozambique,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.8
Myanmar,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.2
Myanmar,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,7.91
Myanmar,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.99
Myanmar,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,6
Myanmar,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,7.03
Myanmar,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,8.93
Myanmar,Pilot Program for Climate Resilience (PPCR),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.25
Sudan,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,0.2
Sudan,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,3.3
Sudan,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,5.7
Sudan,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,7
Sudan,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,8.53
Sudan,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,4.28
Sudan,Adaptation for Smallholder Agriculture Programme (ASAP),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,3.5
Sudan,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,7.08
Sudan,Global Environment Facility (GEF7),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,5.94
Sudan,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,2.43
Sudan,Green Climate Fund (GCF-1),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,25.65
Sudan,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,Sub-Saharan Africa,2
Guinea-Bissau,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,0.2
Guinea-Bissau,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,4
Guinea-Bissau,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.98
Guinea-Bissau,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,12
Guinea-Bissau,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,6
Guinea-Bissau,Green Climate Fund IRM (GCF IRM),Multilateral,Low income,Adaptation,Sub-Saharan Africa,9.81
Guinea-Bissau,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Sub-Saharan Africa,2
Haiti,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Latin America & Caribbean,0.2
Haiti,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Latin America & Caribbean,3.5
Haiti,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Latin America & Caribbean,2.73
Haiti,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Latin America & Caribbean,6.34
Haiti,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Latin America & Caribbean,3.74
Haiti,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Latin America & Caribbean,4.5
Haiti,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Latin America & Caribbean,6.21
Haiti,Pilot Program for Climate Resilience (PPCR),Multilateral,Low income,Adaptation,Latin America & Caribbean,7
Haiti,Global Climate Change Alliance (GCCA),Multilateral,Low income,Adaptation,Latin America & Caribbean,10.14
Haiti,Least Developed Countries Fund (LDCF),Multilateral,Low income,Adaptation,Latin America & Caribbean,4.5
Haiti,Adaptation Fund (AF),Multilateral,Low income,Adaptation,Latin America & Caribbean,9.92
Kiribati,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.2
Solomon Islands,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.2
Timor Leste,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,0.2
Solomon Islands,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,5.53
Kiribati,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,3
Timor Leste,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.6
Solomon Islands,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,6.85
Timor Leste,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,5.25
Kiribati,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.45
Timor Leste,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.56
Timor Leste,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,7
Solomon Islands,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,7.3
Timor Leste,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,3
Solomon Islands,Adaptation Fund (AF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.4
Kiribati,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,8.93
Timor Leste,Green Climate Fund IRM (GCF IRM),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,22.36
Timor Leste,Green Climate Fund (GCF-1),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,20.98
Kiribati,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.59
Solomon Islands,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.59
Solomon Islands,Least Developed Countries Fund (LDCF),Multilateral,Lower middle income,Adaptation,East Asia & Pacific,4.57
"Multi-country (Kiribati, Tuvalu)",Pilot Program for Climate Resilience (PPCR),Multilateral,Not applicable,Adaptation,East Asia & Pacific,1
Tuvalu,Least Developed Countries Fund (LDCF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,0.2
Tuvalu,Least Developed Countries Fund (LDCF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,3.3
Tuvalu,Least Developed Countries Fund (LDCF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,4.2
Tuvalu,Green Climate Fund IRM (GCF IRM),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,36.01
Tuvalu,Least Developed Countries Fund (LDCF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,0.5
Tuvalu,Adaptation Fund (AF),Multilateral,Upper middle income,Adaptation,East Asia & Pacific,0.05
